f(A),f(T),f(AA) BS,f(AT) BS,f(TT) BS,S_AA (All),S_AT (Rec) 0.1,S_AT (Dom) 0.1,S_AT (Add) 0.1,S_AT (Rec) 0.25,S_AT (Dom) 0.25,S_AT (Add) 0.25,S_TT (0.1),S_TT (0.25),f(A) AS Rec 0.1,f(A) AS Dom 0.1,f(A) AS Add 0.1,f(A) AS Rec 0.25,f(A) AS Dom 0.25,f(A) AS Add 0.25,Delta f(A) Rec 0.1,Delta f(A) Dom 0.1,Delta f(A) Add 0.1,Delta f(A) Rec 0.25,Delta f(A) Dom 0.25,Delta f(A) Add 0.25
0,1,0,0,1,0,0.1,0,0.05,0.25,0,0.125,0.1,0.25,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.99,0.0001,0.0198,0.9801,0,0.1,0,0.05,0.25,0,0.125,0.1,0.25,0.010011,0.011086597,0.01054939,0.010032999,0.013245472,0.011644518,1.10E-05,0.001086597,0.00054939,3.30E-05,0.003245472,0.001644518
0.02,0.98,0.0004,0.0392,0.9604,0,0.1,0,0.05,0.25,0,0.125,0.1,0.25,0.020043554,0.022124873,0.021086475,0.020130649,0.026319253,0.023245033,4.36E-05,0.002124873,0.001086475,0.000130649,0.006319253,0.003245033
0.03,0.97,0.0009,0.0582,0.9409,0,0.1,0,0.05,0.25,0,0.125,0.1,0.25,0.03009699,0.033115872,0.031611296,0.030290913,0.039227224,0.03480198,9.70E-05,0.003115872,0.001611296,0.000290913,0.009227224,0.00480198
0.04,0.96,0.0016,0.0768,0.9216,0,0.1,0,0.05,0.25,0,0.125,0.1,0.25,0.040170636,0.044060627,0.042123894,0.040511727,0.051975052,0.046315789,0.000170636,0.004060627,0.002123894,0.000511727,0.011975052,0.006315789
0.05,0.95,0.0025,0.095,0.9025,0,0.1,0,0.05,0.25,0,0.125,0.1,0.25,0.050263816,0.054960154,0.052624309,0.050791007,0.0645682,0.057786885,0.000263816,0.004960154,0.002624309,0.000791007,0.0145682,0.007786885
0.06,0.94,0.0036,0.1128,0.8836,0,0.1,0,0.05,0.25,0,0.125,0.1,0.25,0.06037585,0.065815453,0.063112583,0.061126648,0.077011937,0.069215686,0.00037585,0.005815453,0.003112583,0.001126648,0.017011937,0.009215686
0.07,0.93,0.0049,0.1302,0.8649,0,0.1,0,0.05,0.25,0,0.125,0.1,0.25,0.070506058,0.076627514,0.073588754,0.071516523,0.089311346,0.080602606,0.000506058,0.006627514,0.003588754,0.001516523,0.019311346,0.010602606
0.08,0.92,0.0064,0.1472,0.8464,0,0.1,0,0.05,0.25,0,0.125,0.1,0.25,0.080653757,0.087397308,0.084052863,0.081958489,0.101471334,0.091948052,0.000653757,0.007397308,0.004052863,0.001958489,0.021471334,0.011948052
0.09,0.91,0.0081,0.1638,0.8281,0,0.1,0,0.05,0.25,0,0.125,0.1,0.25,0.090818264,0.098125797,0.09450495,0.092450384,0.113496642,0.103252427,0.000818264,0.008125797,0.00450495,0.002450384,0.023496642,0.013252427
0.1,0.9,0.01,0.18,0.81,0,0.1,0,0.05,0.25,0,0.125,0.1,0.25,0.10099889,0.108813928,0.104945055,0.102990033,0.12539185,0.114516129,0.00099889,0.008813928,0.004945055,0.002990033,0.02539185,0.014516129
0.11,0.89,0.0121,0.1958,0.7921,0,0.1,0,0.05,0.25,0,0.125,0.1,0.25,0.111194949,0.119462635,0.115373216,0.113575247,0.137161383,0.12573955,0.001194949,0.009462635,0.005373216,0.003575247,0.027161383,0.01573955
0.12,0.88,0.0144,0.2112,0.7744,0,0.1,0,0.05,0.25,0,0.125,0.1,0.25,0.121405751,0.130072841,0.125789474,0.124203822,0.148809524,0.136923077,0.001405751,0.010072841,0.005789474,0.004203822,0.028809524,0.016923077
0.13,0.87,0.0169,0.2262,0.7569,0,0.1,0,0.05,0.25,0,0.125,0.1,0.25,0.131630605,0.140645454,0.136193866,0.134873546,0.160340415,0.148067093,0.001630605,0.010645454,0.006193866,0.004873546,0.030340415,0.018067093
0.14,0.86,0.0196,0.2408,0.7396,0,0.1,0,0.05,0.25,0,0.125,0.1,0.25,0.141868819,0.151181374,0.146586433,0.145582196,0.171758066,0.159171975,0.001868819,0.011181374,0.006586433,0.005582196,0.031758066,0.019171975
0.15,0.85,0.0225,0.255,0.7225,0,0.1,0,0.05,0.25,0,0.125,0.1,0.25,0.152119701,0.161681487,0.156967213,0.156327543,0.183066362,0.170238095,0.002119701,0.011681487,0.006967213,0.006327543,0.033066362,0.020238095
0.16,0.84,0.0256,0.2688,0.7056,0,0.1,0,0.05,0.25,0,0.125,0.1,0.25,0.162382556,0.172146669,0.167336245,0.167107351,0.194269063,0.181265823,0.002382556,0.012146669,0.007336245,0.007107351,0.034269063,0.021265823
0.17,0.83,0.0289,0.2822,0.6889,0,0.1,0,0.05,0.25,0,0.125,0.1,0.25,0.172656691,0.182577784,0.177693566,0.177919377,0.205369817,0.192255521,0.002656691,0.012577784,0.007693566,0.007919377,0.035369817,0.022255521
0.18,0.82,0.0324,0.2952,0.6724,0,0.1,0,0.05,0.25,0,0.125,0.1,0.25,0.182941411,0.192975685,0.188039216,0.188761377,0.21637216,0.203207547,0.002941411,0.012975685,0.008039216,0.008761377,0.03637216,0.023207547
0.19,0.81,0.0361,0.3078,0.6561,0,0.1,0,0.05,0.25,0,0.125,0.1,0.25,0.19323602,0.203341217,0.198373232,0.199631106,0.227279524,0.214122257,0.00323602,0.013341217,0.008373232,0.009631106,0.037279524,0.024122257
